AvgCaptionLen,stat_StdPhotoDis,AvgPhotoDis,MeanPhotoDisbyCap,CaptionPercentage,PredictedStd,TopWordPopularity,Zscore,Entropy,diff_AvgPhotoDis,diff_TopWordPopularity,diff_Entropy,tfidf1,tfidf2,tfidf3,NumberOfHashtages1,NumberOfHashtages2,NumberOfHashtages3,NumberOfPhotsoContaingTopWord1,NumberOfPhotsoContaingTopWord2,NumberOfPhotsoContaingTopWord3,Top10PhotoLocationNameFreq,label
44.47619,0.059311,0.388855,7.761409,0.857143,12.81877,0.095238,3.220017,2.523938,-0.006663,16.072473,0.158596,0.234056,0.231558,0.206511,2.875,2.166667,3,8,6,4,1.1,1
45.65,0.072887,0.282081,7.82903,0.882353,3.677348,0.033333,4.671693,2.947435,-0.055158,17.306748,0.101184,0.192251,0.158531,0.15427,2,0,2,2,2,2,0.9,1
38.111111,0.075012,0.388461,7.739006,0.9,2.2257,0.222222,3.519881,2.800045,-0.011243,22.450523,0.136051,1.311349,1.311349,0.672802,0.5,3,4.5,2,2,2,0.2,1
40.608696,0.079056,0.300238,7.86376,0.836364,3.081273,0.072464,3.730001,2.853777,0.018002,18.241514,0.130089,0.245642,0.226431,0.163889,1.666667,2.333333,2.333333,6,3,3,0.8,1
33.66,0.070354,0.382669,8.085892,0.735294,12.817455,0.086667,3.378044,2.39082,-0.008249,16.753801,0.224708,0.324181,0.196607,0.124751,3.375,1.4,2.5,8,5,2,1.8,1
42.513514,0.085762,0.215448,7.614991,0.925,3.366332,0.108108,6.449483,2.624846,-0.07516,17.075237,0.17549,0.384489,0.363218,0.224707,3.333333,1.8,5.666667,6,5,3,0.6,1
65.277778,0.140862,0.24325,6.920599,1,2.68495,0.194444,4.614172,2.011721,-0.016942,19.751471,0.202805,1.059544,1.009204,0.856488,2.555556,0.142857,2.285714,9,7,7,1.4,1
42.590909,0.050815,0.35793,7.72502,0.916667,2.48469,0.080808,4.428708,2.888227,0.012012,16.756823,0.376299,0.227899,0.190155,0.189016,1.166667,0.833333,2.4,6,6,5,0.7,1
34.25,0.073212,0.214365,7.778033,0.888889,1.146336,0.166667,6.257393,2.947703,0.06355,21.699123,0.147831,0.851082,0.779693,0.737634,2,0,0,2,1,1,0.111111,1
39.179487,0.137707,0.279223,7.290081,0.95122,2.611733,0.153846,6.345554,2.010355,-0.075713,17.586479,0.082838,0.922372,0.628531,0.433314,1.3,0,0,20,12,10,2.7,1
52.52381,0.099158,0.155879,7.356433,0.933333,1.454194,0.190476,5.478337,2.102187,-0.102038,18.411369,0.180235,1.297547,0.961257,0.908181,3.785714,4.875,2.25,14,8,8,0.1,1
53.65625,0.101407,0.25554,7.533069,0.914286,2.128752,0.09375,3.543545,2.360064,-0.048562,17.9428,0.292619,0.479956,0.294468,0.286805,6.75,5,5.333333,4,4,3,0.8,1
36.6,0.033445,0.068716,6.199689,0.909091,0.908793,0.5,11.658589,2.541446,-0.226083,22.490392,0.907193,3.389854,2.941525,1.634726,0.142857,0.142857,0.2,7,7,5,0.1,1
40.5,0.057543,0.282227,7.210891,1,1.59359,0.166667,4.131213,2.900052,-0.076601,22.74935,0.788616,1.180214,1.180214,0.623754,1.333333,1.333333,0,3,3,1,0.2,1
41.2,0.031351,0.200084,7.343394,1,0.633827,0.133333,14.724722,2.760314,-0.005963,21.946126,0.489078,0.623754,0.590107,0.55444,1.666667,1,0,3,1,1,0.2,1
33.880952,0.050791,0.322328,7.708509,0.823529,1.488299,0.079365,5.853778,2.88844,0.027348,18.81041,0.060643,0.445539,0.233454,0.215619,3,0,0.333333,4,3,3,0.3,1
40.05,0.070557,0.301403,7.446225,0.909091,1.397741,0.133333,4.494572,3.021417,0.019091,19.231547,0.48752,0.781189,0.311877,0.311877,0.333333,0.333333,0.5,3,3,2,0.2,1
39.888889,0.073865,0.121283,7.639314,0.84375,1.202628,0.185185,6.287654,2.18879,-0.058852,15.692435,0.141597,0.794381,0.596764,0.403636,3.125,3.75,4.25,8,4,4,2.3,1
64.454545,0.033035,0.103075,7.005453,0.916667,1.113918,0.363636,7.473465,2.480938,-0.075755,17.910292,0.186308,1.604725,1.440554,1.046274,3.2,3.2,1.666667,5,5,3,0.6,1
52.407407,0.051495,0.263905,7.457919,0.931034,3.505726,0.074074,3.318754,2.968212,0.010265,18.821134,0.36887,0.294502,0.23102,0.23102,4.75,2,5.5,4,2,2,0.2,1
52.666667,0.087465,0.211755,7.200815,1,0.624617,0.174603,13.415452,2.714409,-0.102418,19.376616,0.240662,1.180145,0.594015,0.297026,2.6,3.666667,2.333333,5,3,3,0.3,1
56.111111,0.077187,0.204516,7.019143,1,0.998549,0.185185,7.704873,2.947703,0.012617,21.371559,0.193494,2.018407,0.69306,0.69306,1.333333,1,0,3,1,1,0.222222,1
